Child attribute: curiosity vs good manners,Child attribute: considerate vs well-behaved,Presidency and congress splitted,Protection to homosexuals,Child attribute: independence vs respect for elders,Federal spending: welfare programs,Death penalty,Should adjust view of moral behavior to changes,Preference on blacks when hiring,Should worry less about how equal people are,Elections make government pay attention,Authority of the bible,Blacks have it difficult to succeed,Life unfair by default,Blacks gotten less than deserved,Blacks must try harder,Federal spending: poor people,Blacks should not be favored,Federal spending: environment,Federal spending: social security,Federal spending: public schools,All should be treated equally,Federal spending: dealing with crime,Federal wasted money,Should be more emphasis on traditional values,Better economy than past year,Hardworking for blacks,Ensure equal opportunity to succeed,Hardworking for whites,party,race,gender,age,affluence,education
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,Republicans,White,Female,35-54,High-Income,No-College
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.25,0.75,0.0,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.5,1.0,0.75,0.25,0.5,0.75,0.5,Republicans,White,Female,55+,Low-Income,College
1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,1.0,1.0,1.0,0.75,0.25,0.25,0.25,1.0,0.25,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.8333333333333334,Republicans,White,Female,35-54,34-66%,No-College
1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.75,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.0,0.5,1.0,1.0,Democrats,Black,Female,55+,Low-Income,No-College
1.0,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.25,0.5,Democrats,White,Female,55+,DK,No-College
0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.25,0.25,0.0,0.75,0.5,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.25,0.3333333333333333,1.0,0.6666666666666666,Republicans,White,Male,17-34,Low-Income,College
0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,Democrats,White,Female,17-34,34-66%,No-College
0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0,0.5,0.75,0.0,0.0,0.75,1.0,1.0,1.0,0.5,0.5,0.25,1.0,1.0,0.75,0.0,0.16666666666666666,1.0,0.6666666666666666,Independents,White,Female,55+,34-66%,No-College
0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,0.5,Democrats,White,Female,35-54,High-Income,College
0.5,0.5,0.5,0.0,1.0,0.5,1.0,0.25,0.0,0.25,0.5,0.5,0.75,0.5,0.25,1.0,0.5,0.75,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,Democrats,White,Female,17-34,34-66%,College
